0, 50.0003333%
1, 3.999989%
2, 3.0182868%
3, 2.6816745%
4, 2.5115531%
5, 2.4088919%
6, 2.3402041%
7, 2.2910199%
8, 2.254065%
9, 2.2252828%
10, 2.202232%
11, 2.1833557%
12, 2.167614%
13, 2.1542861%
14, 2.1428562%
15, 2.1329459%
16, 2.124271%
17, 2.1166141%
18, 2.1098059%
19, 2.1037127%
20, 2.0982275%
21, 2.0932636%
22, 2.0887501%
23, 2.0846283%
24, 2.0808494%
25, 2.0773723%
26, 2.0741622%
27, 2.0711895%
28, 2.0684288%
29, 2.0658582%
30, 2.0634587%
31, 2.0612138%
32, 2.059109%
33, 2.0571317%
34, 2.0552705%
35, 2.0535155%
36, 2.0518579%
37, 2.0502898%
38, 2.0488041%
39, 2.0473945%
40, 2.0460554%
41, 2.0447815%
42, 2.0435681%
43, 2.0424112%
44, 2.0413068%
45, 2.0402514%
46, 2.0392419%
47, 2.0382753%
48, 2.037349%
49, 2.0364604%
50, 2.0356073%
51, 2.0347876%
52, 2.0339995%
53, 2.0332411%
54, 2.0325107%
55, 2.0318069%
56, 2.0311282%
57, 2.0304732%
58, 2.0298409%
59, 2.02923%
60, 2.0286394%
61, 2.0280682%
62, 2.0275153%
63, 2.0269801%
64, 2.0264615%
65, 2.0259589%
66, 2.0254715%
67, 2.0249986%
68, 2.0245397%
69, 2.024094%
70, 2.0236611%
71, 2.0232403%
72, 2.0228312%
73, 2.0224334%
74, 2.0220463%
75, 2.0216695%
76, 2.0213026%
77, 2.0209452%
78, 2.020597%
79, 2.0202576%
80, 2.0199267%
81, 2.0196039%
82, 2.019289%
83, 2.0189817%
84, 2.0186817%
85, 2.0183888%
86, 2.0181027%
87, 2.0178231%
88, 2.0175499%
89, 2.0172828%
90, 2.0170217%
91, 2.0167663%
92, 2.0165165%
93, 2.016272%
94, 2.0160327%
95, 2.0157985%
96, 2.0155691%
97, 2.0153445%
98, 2.0151244%
99, 2.0149088%
100, 2.0146975%
101, 2.0144904%
102, 2.0142873%
103, 2.0140882%
104, 2.0138929%
105, 2.0137013%
106, 2.0135134%
107, 2.0133289%
108, 2.0131479%
109, 2.0129702%
110, 2.0127957%
111, 2.0126244%
112, 2.0124561%
113, 2.0122908%
114, 2.0121284%
115, 2.0119688%
116, 2.0118119%
117, 2.0116578%
118, 2.0115063%
119, 2.0113573%
120, 2.0112108%
121, 2.0110667%
122, 2.0109249%
123, 2.0107855%
124, 2.0106483%
125, 2.0105133%
126, 2.0103805%
127, 2.0102497%
128, 2.010121%
129, 2.0099943%
130, 2.0098696%
131, 2.0097467%
132, 2.0096257%
133, 2.0095065%
134, 2.0093891%
135, 2.0092735%
136, 2.0091595%
137, 2.0090472%
138, 2.0089365%
139, 2.0088274%
140, 2.0087199%
141, 2.0086139%
142, 2.0085094%
143, 2.0084064%
144, 2.0083047%
145, 2.0082045%
146, 2.0081057%
147, 2.0080082%
148, 2.007912%
149, 2.0078171%
150, 2.0077235%
151, 2.0076311%
152, 2.00754%
153, 2.00745%
154, 2.0073612%
155, 2.0072735%
156, 2.007187%
157, 2.0071015%
158, 2.0070172%
159, 2.0069339%
160, 2.0068516%
161, 2.0067704%
162, 2.0066901%
163, 2.0066109%
164, 2.0065326%
165, 2.0064553%
166, 2.0063789%
167, 2.0063034%
168, 2.0062288%
169, 2.0061551%
170, 2.0060823%
171, 2.0060103%
172, 2.0059391%
173, 2.0058688%
174, 2.0057993%
175, 2.0057306%
176, 2.0056626%
177, 2.0055954%
178, 2.005529%
179, 2.0054633%
180, 2.0053984%
181, 2.0053342%
182, 2.0052706%
183, 2.0052078%
184, 2.0051456%
185, 2.0050842%
186, 2.0050234%
187, 2.0049632%
188, 2.0049037%
189, 2.0048448%
190, 2.0047865%
191, 2.0047288%
192, 2.0046717%
193, 2.0046153%
194, 2.0045594%
195, 2.0045041%
196, 2.0044493%
197, 2.0043951%
198, 2.0043414%
199, 2.0042883%
200, 2.0042358%
201, 2.0041837%
202, 2.0041321%
203, 2.0040811%
204, 2.0040306%
205, 2.0039805%
206, 2.003931%
207, 2.0038819%
208, 2.0038333%
209, 2.0037851%
210, 2.0037375%
211, 2.0036902%
212, 2.0036434%
213, 2.0035971%
214, 2.0035512%
215, 2.0035057%
216, 2.0034606%
217, 2.003416%
218, 2.0033717%
219, 2.0033279%
220, 2.0032845%
221, 2.0032414%
222, 2.0031988%
223, 2.0031565%
224, 2.0031146%
225, 2.0030731%
226, 2.0030319%
227, 2.0029911%
228, 2.0029507%
229, 2.0029106%
230, 2.0028708%
231, 2.0028314%
232, 2.0027924%
233, 2.0027537%
234, 2.0027153%
235, 2.0026772%
236, 2.0026395%
237, 2.0026021%
238, 2.002565%
239, 2.0025282%
240, 2.0024917%
241, 2.0024555%
242, 2.0024196%
243, 2.002384%
244, 2.0023487%
245, 2.0023137%
246, 2.002279%
247, 2.0022445%
248, 2.0022104%
249, 2.0021765%
250, 2.0021429%
251, 2.0021095%
252, 2.0020764%
253, 2.0020436%
254, 2.002011%
255, 2.0019787%
256, 2.0019466%
257, 2.0019148%
258, 2.0018833%
259, 2.0018519%
260, 2.0018209%
261, 2.00179%
262, 2.0017594%
263, 2.001729%
264, 2.0016989%
265, 2.001669%
266, 2.0016393%
267, 2.0016098%
268, 2.0015806%
269, 2.0015515%
270, 2.0015227%
271, 2.0014941%
272, 2.0014657%
273, 2.0014375%
274, 2.0014095%
275, 2.0013818%
276, 2.0013542%
277, 2.0013268%
278, 2.0012996%
279, 2.0012726%
280, 2.0012458%
281, 2.0012192%
282, 2.0011928%
283, 2.0011666%
284, 2.0011406%
285, 2.0011147%
286, 2.001089%
287, 2.0010635%
288, 2.0010382%
289, 2.0010131%
290, 2.0009881%
291, 2.0009633%
292, 2.0009386%
293, 2.0009142%
294, 2.0008899%
295, 2.0008657%
296, 2.0008418%
297, 2.000818%
298, 2.0007943%
299, 2.0007708%
300, 2.0007475%
301, 2.0007243%
302, 2.0007013%
303, 2.0006784%
304, 2.0006557%
305, 2.0006331%
306, 2.0006107%
307, 2.0005884%
308, 2.0005663%
309, 2.0005443%
310, 2.0005224%
311, 2.0005007%
312, 2.0004791%
313, 2.0004577%
314, 2.0004364%
315, 2.0004152%
316, 2.0003942%
317, 2.0003733%
318, 2.0003526%
319, 2.0003319%
320, 2.0003114%
321, 2.000291%
322, 2.0002708%
323, 2.0002507%
324, 2.0002307%
325, 2.0002108%
326, 2.000191%
327, 2.0001714%
328, 2.0001519%
329, 2.0001325%
330, 2.0001132%
331, 2.000094%
332, 2.000075%
333, 2.0000561%
334, 2.0000372%
335, 2.0000185%
336, 1.9999999%
336, 2%
2, 3%
1, 4%
0, 6%
