0, 100%
1, 96.0000003%
2, 92.5737082%
3, 89.6059552%
4, 87.0104669%
5, 84.7213322%
6, 82.6873352%
7, 80.8680715%
8, 79.2312423%
9, 77.7507152%
10, 76.4051233%
11, 75.1768228%
12, 74.0511188%
13, 73.0156718%
14, 72.0600457%
15, 71.1753526%
16, 70.353978%
17, 69.5893585%
18, 68.8758087%
19, 68.2083769%
20, 67.5827324%
21, 66.9950697%
22, 66.4420322%
23, 65.9206471%
24, 65.4282726%
25, 64.9625531%
26, 64.5213811%
27, 64.1028656%
28, 63.705305%
29, 63.3271641%
30, 62.9670536%
31, 62.6237143%
32, 62.296001%
33, 61.9828708%
34, 61.6833714%
35, 61.3966318%
36, 61.1218535%
37, 60.8583035%
38, 60.6053072%
39, 60.3622432%
40, 60.1285377%
41, 59.9036607%
42, 59.6871209%
43, 59.4784634%
44, 59.2772653%
45, 59.0831337%
46, 58.8957027%
47, 58.7146313%
48, 58.5396013%
49, 58.3703151%
50, 58.2064947%
51, 58.0478795%
52, 57.8942254%
53, 57.7453032%
54, 57.6008975%
55, 57.4608061%
56, 57.3248384%
57, 57.1928149%
58, 57.0645665%
59, 56.9399336%
60, 56.8187654%
61, 56.7009194%
62, 56.5862609%
63, 56.4746621%
64, 56.3660024%
65, 56.260167%
66, 56.1570473%
67, 56.05654%
68, 55.9585472%
69, 55.8629756%
70, 55.7697366%
71, 55.6787458%
72, 55.5899229%
73, 55.5031914%
74, 55.4184781%
75, 55.3357136%
76, 55.2548312%
77, 55.1757676%
78, 55.098462%
79, 55.0228564%
80, 54.9488955%
81, 54.8765261%
82, 54.8056973%
83, 54.7363606%
84, 54.6684692%
85, 54.6019785%
86, 54.5368455%
87, 54.473029%
88, 54.4104896%
89, 54.3491892%
90, 54.2890915%
91, 54.2301614%
92, 54.1723651%
93, 54.1156703%
94, 54.0600458%
95, 54.0054615%
96, 53.9518886%
97, 53.8992991%
98, 53.8476664%
99, 53.7969644%
100, 53.7471682%
101, 53.6982538%
102, 53.6501981%
103, 53.6029784%
104, 53.5565733%
105, 53.5109618%
106, 53.4661237%
107, 53.4220396%
108, 53.3786906%
109, 53.3360584%
110, 53.2941254%
111, 53.2528745%
112, 53.2122893%
113, 53.1723537%
114, 53.1330524%
115, 53.0943702%
116, 53.0562926%
117, 53.0188057%
118, 52.9818958%
119, 52.9455496%
120, 52.9097543%
121, 52.8744975%
122, 52.8397672%
123, 52.8055516%
124, 52.7718394%
125, 52.7386195%
126, 52.7058813%
127, 52.6736143%
128, 52.6418085%
129, 52.610454%
